,,,,,,,,,,,,,,,,,,,Pass Area,,,,,,,,,,,,,,,,
Series #,Play #,Qtr,Time,Score,Down,Distance,POS,Play Description,Personnel,Formation,Motion,Runner,Lead Block,Target,Catch,Gain,Penalty,Play Action,Area,Depth,Run Area,Def Package,Def Front,Pass Rushers,,Personnel,Plays,Run,Pass,RuYds,Pass Comp,PaYds,Yds Per Carry,Yds Per Pass,
8,66,4,14:08,Up 10,1,10,-26,Pass,11,"""+1x2+"", I-form",TE in,,,Cobb (RB 0),Catch,0,,Hard,LS,S,,,Over,4,,,,,,,,,,,
8,67,4,13:19,Up 10,2,10,-26,Pass,11,"""-2x3+"", shotgun",RB out,,,Ripkowski (L2),Catch,8,,,LS,S,,,Over,4,,,,,,,,,,,
8,68,4,12:34,Up 10,3,2,-34,Run,10,"""+1x2-"", I-form offset R",,Cobb,HB,,,3,,,,,IR,,Over,,,,,,,,,,,,
8,69,4,11:50,Up 10,1,10,-37,Pass,11,"""+3x2+"", shotgun",,,,Cobb (R2),"LOS PD, Young",0,,,RS,S,,,Over,4,,,,,,,,,,,
8,70,4,11:47,Up 10,2,10,-37,Run,10,"""-2x1+"", I-form offset R",,Cobb,HB,,,14,,,,,IL,,Under,,,,,,,,,,,,
8,71,4,11:08,Up 10,1,10,+49,Pass,10,"""+1x3+"", shotgun offset R",,,,Adams (R1),Catch,16,,,RS,S,,,Over,4,,,,,,,,,,,
8,72,4,10:19,Up 10,1,10,+33,Run,10,"""+3x1+"", shotgun offset L",,Ripkowski,,,,2,"Def. face mask, C. Washington, +15",,,,IR,,Over,,,,,,,,,,,,
8,73,4,9:22,Up 10,1,15,+21,Pass,01,"""+3x1+"", shotgun offset L",,,,Adams (R1),Inc.,,"Illegal contact, Bausby, +5",,RS,D,,,Over,4,,,,,,,,,,,
8,74,4,9:17,Up 10,1,10,+16,Run,01,"""+2x1*"", pistol 2 RB",TE bk,Montgomery,HB,,,1,,,,,IL,,Other Even,,,,,,,,,,,,
8,75,4,8:32,Up 10,2,9,+15,Run,02,"""-2x2+"", closed L, dual TE LOS, singleback",,Montgomery,,,,3,,,,,IL,,2 Eagle Even,,,,,,,,,,,,
8,76,4,7:49,Up 10,3,6,+12,Run,00,"""+2x3+"", shotgun",WR in,A. Rodgers,,,,8,,,,,SCR,,Other Even,4,,,,,,,,,,,
8,77,4,7:13,Up 10,1,4,+4,Pass,00,"""+3x2+"", shotgun",,,,Adams (R1),Inc.,,"Def. holding, Bausby, +2",,RS,IS,,,Over,4,,,,,,,,,,,
8,78,4,7:05,Up 10,1,2,+2,Run,10,"""-2x1+"", I-form offset L",,Cobb,HB,,,0,,,,,IL,,Other Even,,,,,,,,,,,,
8,79,4,6:21,Up 10,2,2,+2,Pass,01,"""+2x2-"", shotgun offset R",,,,"Montgomery (R RB, 3)",Catch,0,,,Swing R,S,,,Over,4,,,,,,,,,,,
8,80,4,5:39,Up 10,3,2,+2,Pass,00,"""+3x2+"", shotgun",WR in,,,Cobb (R2),"Catch, TD",2,,,RS,S,,,Under,4,,,,,,,,,,,
9,81,4,4:27,Up 16,1,10,+38,Run,6 OL,"""+2x2+"", singleback",WR in,K. Davis,,,,0,,,,,IR,,Over,,,,,,,,,,,,
9,82,4,3:42,Up 16,2,15,+43,Pass,10,"""*3x1+"", shotgun offset R",WR in,,,Cobb (L1),Catch,25,,,M,IS,,,Under,4,,,,,,,,,,,
9,83,4,3:33,Up 16,1,10,+18,Run,20,"""+1x2+"", I-form offset R",,Ripkowski,,,,2,,,,,M,,Under,,,,,,,,,,,,
9,84,4,2:45,Up 16,2,8,+16,Run,20,"""+1x2+"", I-form offset L",,K. Davis,HB,,,1,,,,,IL,,Under,,,,,,,,,,,,
9,85,4,2:00,Up 16,3,7,+15,Pass,00,"""+1x3+"", shotgun offset R",,,,"Montgomery (R RB, 4)",Catch,,"Ineligible downfield, Lang, -5",,RB Screen L,S,,,Over,4,,,,,,,,,,,
9,86,4,1:51,Up 16,3,12,+20,Pass,00,"""+1x3+"", shotgun offset R",,,,"Montgomery (R RB, 4)",Catch,7,,,M,S,,,Over,4,,,,,,,,,,,
10,87,4,0:41,Up 16,1,10,-40,Kneel down,,,,A. Rodgers,,,,-1,,,,,,,,,,,,,,,,,,,
