Series,Play,Quarter,Time,Score_Margin,Down,Distance,POS,Play_Type,Personnel,Formation,Motion,Runner,Lead_Block,Target,Catch,Gain,Penalty,Play_Action,Pass_Area,Pass_Depth,Run_Area,Def_Package,Def_Front,Pass_Rushers,Goal_Line,LOS_to_Goal,Net_Gain,Minute,Second,Num_RB,Num_TE,Num_WR,6_OL,Left_Split,Right_Split,Shotgun,Shotgun_Offset,I-Form,I-Form_Offset,Motion_Bool,Motion_Pos,Motion_Dir,Target_Pos,Target_Align,Pass_Dir,TD,Explosive_Pass,Explosive_Pass_Yd,Explosive_Run,Explosive_Run_Yd,Explosive_Play,Successful_Pass,Successful_Run,Successful_Play,Sack_TFL,Sack_TFL_Yards,Penalty_Team,Penalty_Type,Penalty_Yards
7,46,3,13:43,10,3,1.0,-34,Run,6 OL,"""-3x1+"", bunch L-, singleback",,Murray,,N/A,N/A,3.0,,,,,M,,Under,,0,66,3.0,13,43,,,,1.0,Narrow,Wide,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
7,47,3,12:58,10,1,10.0,-37,Run,6 OL,"""*2x2-"", shotgun offset R",TE in,Carr,,N/A,N/A,6.0,,"Hard, roll",,,SCR,,Other Odd,4.0,0,63,11.0,12,58,,,,1.0,Normal,Narrow,1.0,,0.0,,1.0,TE,in,,,,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
7,48,3,11:53,10,1,10.0,-48,Pass,12,"""+2x2+"", singleback",,N/A,,"Rivera (R LOS TE, 2)",Catch,6.0,,,LM,S,,,Under,4.0,0,52,6.0,11,53,1.0,2.0,2.0,0.0,Wide,Wide,0.0,,0.0,,0.0,,,TE,2,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
7,49,3,11:09,10,2,4.0,46,Run,6 OL,"""-3x1+"", closed L, triple TE LOS, singleback",,Murray,,N/A,N/A,5.0,,,,,M,,Under,,0,46,5.0,11,09,1.0,3.0,1.0,1.0,Narrow,Wide,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
7,50,3,10:26,10,1,10.0,41,Pass,6 OL,"""+2x2-"", closed R, dual TE LOS, singleback",TE in,N/A,,"Walford (R LOS TE, 1)",Catch,-2.0,,Hard,LM,S,,,Under,4.0,0,41,-2.0,10,26,1.0,2.0,2.0,1.0,Wide,Narrow,0.0,,0.0,,1.0,TE,in,TE,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,1.0,-2.0,,,0.0
7,51,3,9:45,10,2,12.0,43,Run,11,"""+2x2+"", shotgun offset R",,Olawale,,N/A,N/A,4.0,,,,,M,,2 Eagle Even,,0,43,4.0,9,45,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
7,52,3,9:04,10,3,8.0,39,Pass,11,"""+2x3+"", shotgun",,N/A,,Throwaway,Inc.,0.0,,,,,,,2 Eagle Even,4.0,0,39,0.0,9,04,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
8,53,3,7:45,10,1,10.0,-36,Run,6 OL,"""-3x1+"", dual TE LOS, singleback",,Murray,,N/A,N/A,5.0,,,,,M,,Under,,0,64,5.0,7,45,,2.0,,1.0,Narrow,Wide,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
8,54,3,7:07,10,2,5.0,-41,Run,6 OL,"""-2x2-"", singleback",TE in,Richard,RG,N/A,N/A,10.0,,,,,IL,,Other Odd,,0,59,10.0,7,07,,,,1.0,Narrow,Narrow,0.0,,0.0,,1.0,TE,in,,,,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
8,55,3,6:43,10,1,10.0,49,Run,6 OL,"""-3x1+"", dual TE LOS, singleback",,Washington,,N/A,N/A,1.0,,,,,M,,Under,,0,49,1.0,6,43,,2.0,,1.0,Narrow,Wide,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
8,56,3,6:02,10,2,9.0,48,Run,11,"""-1x3+"", closed L, singleback",WR in,Washington,,N/A,N/A,6.0,,,,,M,,Over,,0,48,6.0,6,02,1.0,1.0,3.0,0.0,Narrow,Wide,0.0,,0.0,,1.0,WR,in,,,,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
