,,,,,,,,,,,,,,,,,,,Pass Area,,,,,,,,,,,,,,,
Week,Opponent,Qtr,Time,Score,Down,Distance,POS,Play Description,Personnel,Formation,Motion,Runner,Lead Block,Target,Catch,Gain,Penalty,Play Action,Area,Depth,Run Area,Def Package,Def Front,Pass Rushers,,Personnel,Plays,Run,Pass,RuYds,Pass Comp,PaYds,Yds Per Carry,Yds Per Pass
6,ATL,1,7:39,Tied,1,10,-14,Pass,11,"""+3x1+"", shotgun offset R",,,,"Michael (R RB, 2)",Catch,2,,,RB Screen R,S,,,Other Odd,4,,,,,,,,,,
6,ATL,1,6:08,Tied,1,10,-24,Run,11,"""-1x3+"", closed L, singleback",,Michael,,,,21,,,,,IR,,Over,,,,,,,,,,,
6,ATL,1,2:07,Tied,1,G-9,9,Run,11,"""-1x3+"", closed L, singleback",,Michael,,,,9,,,,,IR,,Over,,,,,,,,,,,
6,ATL,2,14:16,Up 7,2,8,-21,Run,11,"""+3x1-"", closed R, shotgun offset L",,Michael,,,,1,,,,,M,,Over,,,,,,,,,,,
6,ATL,2,13:32,Up 7,3,8,-21,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Graham (L LOS TE, 1)",Inc.,0,,,LM,S,,,Other Odd,5,,,,,,,,,,
6,ATL,2,7:53,Up 4,1,10,-41,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Michael (R RB, 2)",Catch,8,,,Swing R,S,,,Over,5,,,,,,,,,,
6,ATL,2,5:20,Up 4,1,10,26,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Spiller (R RB, 2)",Catch,24,,,M,IS,,,Over,4,,,,,,,,,,
6,ATL,2,1:58,Up 11,1,10,45,Pass,11,"""+3x1-"" closed R, shotgun offset R",,,,"Graham (R LOS TE, 1)",Catch,25,,,RM,IS,,,Over,4,,,,,,,,,,
6,ATL,2,1:29,Up 11,1,10,20,Run,11,"""+3x1-"", closed R, shotgun offset R",,Spiller,,,,-3,,,,,IL,,Over,,,,,,,,,,,
6,ATL,3,6:05,Tied,1,10,-20,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Spiller (L RB, 2)",Catch,8,,,LS,S,,,Over,4,,,,,,,,,,
6,ATL,3,5:28,Tied,2,3,-27,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Baldwin (R3),"LOS PD, Beasley",0,,,RM,S,,,Over,4,,,,,,,,,,
6,ATL,3,5:23,Tied,3,2,-28,Pass,11,"""-1x3+"", shotgun offset L",,,,Baldwin (R3),Catch,3,"Def. face mask, Trufant, +15",,RM,S,,,2 Eagle Even,4,,,,,,,,,,
6,ATL,3,0:52,Down 7,1,10,-26,Run,11,"""+3x1-"", closed R, shotgun offset R",,R. Wilson,,,,2,,,,,SCR,,Over,4,,,,,,,,,,
6,ATL,4,13:27,Down 7,1,10,38,Pass,12,"""-1x3+"", closed L, singleback",TE in,,,"L. Wilson (R LOS TE, 3)",Catch,9,,Hard,LM,S,,,Over,4,,,,,,,,,,
6,ATL,4,12:17,Down 7,1,G-10,10,Run,11,"""-1x3*"", closed L, bunch R-, singleback",,Michael,,,,0,,,,,IR,,Over,,,,,,,,,,,
6,ATL,4,11:37,Down 7,2,G-10,10,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Spiller (L RB, 2)",Inc.,0,,,LM,S,,,Over,4,,,,,,,,,,
6,ATL,4,11:34,Down 7,3,G-10,10,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Kearse (R3),Inc.,0,,,M,ID,,,Other Even,4,,,,,,,,,,
6,ATL,4,6:27,Down 7,1,10,37,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Baldwin (L2),Catch,11,,,RM,S,,,Over,4,,,,,,,,,,
6,ATL,4,6:04,Down 7,1,10,26,Run,11,"""+3x1-"", closed R, shotgun offset R",,R. Wilson,,,,6,,,,,SCR,,Over,4,,,,,,,,,,
6,ATL,4,3:48,Down 1,1,10,50,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Graham (L LOS TE, 1)",Inc.,0,,,LM,S,,,Other Even,4,,,,,,,,,,
7,at ARZ,1,11:17,Tied,2,10,-17,Pass,11,"""-3x1-"", closed R, bunch L-, shotgun offset R",,,,Baldwin (BP),Catch,9,,,LM,S,,,Over,4,,,,,,,,,,
7,at ARZ,1,10:40,Tied,3,1,-26,Run,11,"""-1x3*"", closed L, bunch R-, pistol",,R. Wilson,,,,-2,,,,,M,,Over,,,,,,,,,,,
7,at ARZ,1,8:56,Tied,1,10,-40,Pass,11,"""-1x3+"", closed L, shotgun offset R",,,,Baldwin (R3),Inc.,0,,,LM,S,,,Over,4,,,,,,,,,,
7,at ARZ,1,8:50,Tied,2,10,-40,Pass,11,"""-1x3+"", closed L, shotgun offset R",,,,"Michael (R RB, 4)",Catch,6,,,Swing R,S,,,Over,4,,,,,,,,,,
7,at ARZ,1,8:10,Tied,3,4,-46,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Vannett (R LOS TE, 1)",Inc.,0,,,RM,S,,,Other Odd,4,,,,,,,,,,
7,at ARZ,1,1:33,Tied,2,10,-1,Pass,12,"""-1x3-"", shotgun offset R",TE in,,,"Graham (R LOS TE, 3)",Catch,4,,,RS,S,,,2 Eagle Odd,5,,,,,,,,,,
7,at ARZ,1,0:48,Tied,3,6,-5,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Prosise (R RB, 2)",Inc.,0,,,RS,IS,,,Other Even,5,,,,,,,,,,
7,at ARZ,2,13:20,Tied,1,10,-31,Run,11,"""+3x1-"", closed R, shotgun offset L",,,,"Michael (L RB, 4)",Catch,3,,,,,M,,Over,,,,,,,,,,,
7,at ARZ,2,3:06,Down 3,1,10,-17,Run,11,"""+3x1-"", closed R, shotgun offset R",,Michael,,,,6,,,,,IL,,Over,,,,,,,,,,,
7,at ARZ,2,2:39,Down 3,2,4,-23,Run,11,"""-1x3+"", closed L, shotgun offset L",,Michael,,,,6,,,,,M,,Over,,,,,,,,,,,
7,at ARZ,2,2:00,Down 3,2,10,-29,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Baldwin (R3),Catch,5,,,RM,S,,,Over,4,,,,,,,,,,
