Week,Opponent,Quarter,Time,Score_Margin,Down,Distance,POS,Play_Type,Personnel,Formation,Motion,Runner,Lead_Block,Target,Catch,Gain,Penalty,Play_Action,Pass_Area,Pass_Depth,Run_Area,Def_Package,Def_Front,Pass_Rushers,Goal_Line,LOS_to_Goal,Net_Gain,Minute,Second,Num_RB,Num_TE,Num_WR,6_OL,Left_Split,Right_Split,Shotgun,Shotgun_Offset,I-Form,I-Form_Offset,Motion_Bool,Motion_Pos,Motion_Dir,Target_Pos,Target_Align,Pass_Dir,TD,Explosive_Pass,Explosive_Pass_Yd,Explosive_Run,Explosive_Run_Yd,Explosive_Play,Successful_Pass,Successful_Run,Successful_Play,Sack_TFL,Sack_TFL_Yards,Penalty_Team,Penalty_Type,Penalty_Yards,Home/Road
2,TEN,2,0:15,9,1,10.0,-34,Pass,11,"""+3x1+"", shotgun offset R",,N/A,,N/A,"Sack, Dodd",-6.0,,,,,,,Other Odd,4,0,66,-6.0,0,15,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Right,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,1.0,-6.0,,,0.0,Home
2,TEN,3,14:37,9,2,4.0,-31,Pass,11,"""+2x2+"", shotgun offset R",,N/A,,M. Jones (L1),Catch,8.0,,,LM,S,,,Over,4,0,69,8.0,14,37,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Right,0.0,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,3,13:51,9,1,15.0,-34,Pass,11,"""+3x1+"", shotgun offset R",,N/A,,N/A,"Sack, Orakpo",-1.0,,,,,,,Over,4,0,66,-1.0,13,51,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Right,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,1.0,-1.0,,,0.0,Home
2,TEN,3,13:19,9,2,16.0,-33,Pass,11,"""*2x2+"", shotgun offset L",,N/A,,Boldin (R2),Catch,6.0,,Soft,M,S,,,Other Odd,3,0,67,6.0,13,19,1.0,1.0,3.0,0.0,Normal,Wide,1.0,Left,0.0,,0.0,,,WR,2,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,3,12:35,9,3,10.0,-39,Pass,11,"""*1x3+"", pistol",TE in,N/A,,Tate (R1),Inc.,0.0,,Hard,WR Screen R,S,,,2 Eagle Even,4,0,61,0.0,12,35,1.0,1.0,3.0,0.0,Normal,Wide,0.0,,0.0,,1.0,TE,in,TE,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,3,7:44,9,1,10.0,-46,Pass,12,"""*2x2+"", singleback",,N/A,,"Ebron (L LOS TE, 2)",Catch,11.0,"Off. Unnecessary roughness, Tate, -15","Hard, roll",RS,S,,,Under,4,0,54,26.0,7,44,1.0,2.0,2.0,0.0,Normal,Wide,0.0,,0.0,,0.0,,,TE,2,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,Defense,Off. Unnecessary roughness,15.0,Home
2,TEN,3,6:44,9,2,6.0,-46,Pass,11,"""+2x2*"", shotgun offset R",,N/A,,M. Jones (L1),Inc.,0.0,,,LS,ID,,,2 Eagle Odd,5,0,54,0.0,6,44,1.0,1.0,3.0,0.0,Wide,Normal,1.0,Right,0.0,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,3,6:38,9,3,6.0,-46,Pass,11,"""+2x2+"", shotgun offset L",,N/A,,Ebron (R1),Catch,7.0,,,RM,S,,,Other Odd,4,0,54,7.0,6,38,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Left,0.0,,0.0,,,WR,1,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,3,5:07,9,1,10.0,41,Pass,11,"""+2x2*"", pistol",TE orbit,N/A,,Tate (R1),Inc.,0.0,,Hard,RS,D,,,Over,4,0,41,0.0,5,07,1.0,1.0,3.0,0.0,Wide,Normal,0.0,,0.0,,1.0,TE,orbit,TE,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,3,2:27,9,1,10.0,10,Pass,11,"""+2x2-"", singlback",,N/A,,M. Jones (L1),Catch,1.0,,,WR Screen L,S,,,Over,4,1,10,1.0,2,27,1.0,1.0,3.0,0.0,Wide,Narrow,0.0,,0.0,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
